fips,county,state,hospital_count,population,hospitals_per_100k
36001,ALBANY,NY,4.0,317590.0,1.2594855001731793
36003,ALLEGANY,NY,2.0,46694.0,4.283205551034394
36005,BRONX,NY,7.0,1380478.0,0.5070707392656746
36007,BROOME,NY,3.0,195934.0,1.5311278287586636
36009,CATTARAUGUS,NY,1.0,75671.0,1.3215102218815664
36011,CAYUGA,NY,1.0,74563.0,1.3411477542480856
36013,CHAUTAUQUA,NY,3.0,125061.0,2.398829371266822
36015,CHEMUNG,NY,2.0,81090.0,2.466395363176717
36017,CHENANGO,NY,1.0,45904.0,2.178459393516905
36019,CLINTON,NY,1.0,77905.0,1.2836146588794044
36021,COLUMBIA,NY,1.0,60607.0,1.6499744253964064
36023,CORTLAND,NY,1.0,46004.0,2.1737240239979134
36025,DELAWARE,NY,3.0,44533.0,6.736577369591091
36027,DUTCHESS,NY,2.0,297451.0,0.6723796524469576
36029,ERIE,NY,10.0,947418.0,1.0555003177055955
36031,ESSEX,NY,1.0,36686.0,2.725835468571117
36033,FRANKLIN,NY,2.0,46224.0,4.326756663205262
36035,FULTON,NY,1.0,52468.0,1.905923610581688
36037,GENESEE,NY,1.0,58016.0,1.7236624379481524
36039,GREENE,NY,0.0,47411.0,0.0
36041,HAMILTON,NY,0.0,5068.0,0.0
36043,HERKIMER,NY,1.0,59551.0,1.679232926399221
36045,JEFFERSON,NY,4.0,113280.0,3.531073446327684
36047,KINGS,NY,11.0,2611893.0,0.42115048357647117
36049,LEWIS,NY,1.0,26568.0,3.7639265281541703
36051,LIVINGSTON,NY,1.0,61184.0,1.6344142259414225
36053,MADISON,NY,2.0,67242.0,2.974331518991107
36055,MONROE,NY,6.0,748957.0,0.80111408265094
36057,MONTGOMERY,NY,1.0,49531.0,2.0189376350164543
36059,NASSAU,NY,9.0,1388940.0,0.6479761544775152
36061,NEW YORK,NY,16.0,1631534.0,0.9806721772270759
36063,NIAGARA,NY,2.0,209451.0,0.9548772743983079
36065,ONEIDA,NY,3.0,227555.0,1.318362593658676
36067,ONONDAGA,NY,5.0,468524.0,1.0671811902912125
36069,ONTARIO,NY,3.0,112374.0,2.6696566821506753
36071,ORANGE,NY,6.0,410179.0,1.4627760075479241
36073,ORLEANS,NY,1.0,39567.0,2.527358657467081
36075,OSWEGO,NY,1.0,117939.0,0.8478959462094812
36077,OTSEGO,NY,2.0,60581.0,3.3013651144748355
36079,PUTNAM,NY,1.0,98110.0,1.0192640913260627
36081,QUEENS,NY,8.0,2314747.0,0.34561012499422183
36083,RENSSELAER,NY,1.0,159605.0,0.6265467873813477
36085,RICHMOND,NY,3.0,495182.0,0.605837853556874
36087,ROCKLAND,NY,5.0,346437.0,1.4432638546113723
36089,ST. LAWRENCE,NY,6.0,106607.0,5.628148245424784
36091,SARATOGA,NY,2.0,238699.0,0.8378753157742597
36093,SCHENECTADY,NY,2.0,160129.0,1.2489929993942384
36095,SCHOHARIE,NY,1.0,30140.0,3.3178500331785004
36097,SCHUYLER,NY,1.0,17441.0,5.733616191732126
36099,SENECA,NY,0.0,32449.0,0.0
36101,STEUBEN,NY,4.0,92078.0,4.344143009187862
36103,SUFFOLK,NY,14.0,1533173.0,0.9131389608348177
36105,SULLIVAN,NY,2.0,80413.0,2.487160036312537
36107,TIOGA,NY,0.0,47606.0,0.0
36109,TOMPKINS,NY,1.0,104453.0,0.9573683857811648
36111,ULSTER,NY,2.0,182956.0,1.093159010909727
36113,WARREN,NY,1.0,65467.0,1.5274871309209221
36115,WASHINGTON,NY,0.0,60052.0,0.0
36117,WAYNE,NY,1.0,90721.0,1.1022806185998832
36119,WESTCHESTER,NY,12.0,998335.0,1.202001332218143
36121,WYOMING,NY,1.0,39750.0,2.515723270440252
36123,YATES,NY,1.0,24367.0,4.10391102720893
34001,ATLANTIC,NJ,3.0,276643.0,1.0844301139013095
34003,BERGEN,NJ,7.0,964156.0,0.7260235895436008
34005,BURLINGTON,NJ,6.0,472273.0,1.2704516243782726
34007,CAMDEN,NJ,5.0,529977.0,0.9434371680280466
34009,CAPE MAY,NJ,1.0,94577.0,1.0573395222940039
34011,CUMBERLAND,NJ,1.0,154497.0,0.647261759128009
34013,ESSEX,NJ,10.0,871153.0,1.1479039847191022
34015,GLOUCESTER,NJ,0.0,308693.0,0.0
34017,HUDSON,NJ,7.0,719682.0,0.9726518101050186
34019,HUNTERDON,NJ,1.0,130313.0,0.7673831467313315
34021,MERCER,NJ,4.0,391369.0,1.0220533562954655
34023,MIDDLESEX,NJ,7.0,873281.0,0.8015747508533908
34025,MONMOUTH,NJ,5.0,645796.0,0.7742383043561744
34027,MORRIS,NJ,4.0,516902.0,0.7738410762581688
34029,OCEAN,NJ,5.0,661368.0,0.7560087576054481
34031,PASSAIC,NJ,2.0,524011.0,0.3816713771275794
34033,SALEM,NJ,1.0,65488.0,1.52699731248473
34035,SOMERSET,NJ,2.0,351042.0,0.5697323966932731
34037,SUSSEX,NJ,1.0,146328.0,0.6833962057842655
34039,UNION,NJ,5.0,586115.0,0.8530749085077161
34041,WARREN,NJ,2.0,111651.0,1.7912960922875745
09001,FAIRFIELD,CT,8.0,,
09003,HARTFORD,CT,8.0,,
09005,LITCHFIELD,CT,2.0,,
09007,MIDDLESEX,CT,3.0,,
09009,NEW HAVEN,CT,9.0,,
09011,NEW LONDON,CT,2.0,,
09013,TOLLAND,CT,2.0,,
09015,WINDHAM,CT,2.0,,
