fips,hospital_count,state,county,population,hospitals_per_100k
9001,8,Connecticut,Fairfield,963780.0,0.8300649525825397
9003,8,Connecticut,Hartford,898478.0,0.890394645166604
9005,2,Connecticut,Litchfield,186551.0,1.072092886127654
9007,3,Connecticut,Middlesex,166110.0,1.8060321473722232
9009,9,Connecticut,New Haven,865717.0,1.0396007009218948
9011,2,Connecticut,New London,268518.0,0.7448290244974266
9013,2,Connecticut,Tolland,150906.0,1.325328350098737
9015,2,Connecticut,Windham,117116.0,1.7077085966050756
34001,3,New Jersey,Atlantic,276643.0,1.0844301139013095
34003,7,New Jersey,Bergen,964156.0,0.7260235895436008
34005,6,New Jersey,Burlington,472273.0,1.2704516243782726
34007,5,New Jersey,Camden,529977.0,0.9434371680280466
34009,1,New Jersey,Cape May,94577.0,1.0573395222940039
34011,1,New Jersey,Cumberland,154497.0,0.647261759128009
34013,10,New Jersey,Essex,871153.0,1.1479039847191022
34017,7,New Jersey,Hudson,719682.0,0.9726518101050186
34019,1,New Jersey,Hunterdon,130313.0,0.7673831467313315
34021,4,New Jersey,Mercer,391369.0,1.0220533562954655
34023,7,New Jersey,Middlesex,873281.0,0.8015747508533908
34025,5,New Jersey,Monmouth,645796.0,0.7742383043561744
34027,4,New Jersey,Morris,516902.0,0.7738410762581688
34029,5,New Jersey,Ocean,661368.0,0.7560087576054481
34031,2,New Jersey,Passaic,524011.0,0.3816713771275794
34033,1,New Jersey,Salem,65488.0,1.52699731248473
34035,2,New Jersey,Somerset,351042.0,0.5697323966932731
34037,1,New Jersey,Sussex,146328.0,0.6833962057842655
34039,5,New Jersey,Union,586115.0,0.8530749085077161
34041,2,New Jersey,Warren,111651.0,1.7912960922875745
36001,4,New York,Albany,317590.0,1.2594855001731793
36003,2,New York,Allegany,46694.0,4.283205551034394
36005,7,New York,Bronx,1380478.0,0.5070707392656746
36007,3,New York,Broome,195934.0,1.5311278287586636
36009,1,New York,Cattaraugus,75671.0,1.3215102218815664
36011,1,New York,Cayuga,74563.0,1.3411477542480856
36013,3,New York,Chautauqua,125061.0,2.398829371266822
36015,2,New York,Chemung,81090.0,2.466395363176717
36017,1,New York,Chenango,45904.0,2.178459393516905
36019,1,New York,Clinton,77905.0,1.2836146588794044
36021,1,New York,Columbia,60607.0,1.6499744253964064
36023,1,New York,Cortland,46004.0,2.1737240239979134
36025,3,New York,Delaware,44533.0,6.736577369591091
36027,2,New York,Dutchess,297451.0,0.6723796524469576
36029,10,New York,Erie,947418.0,1.0555003177055955
36031,1,New York,Essex,36686.0,2.725835468571117
36033,2,New York,Franklin,46224.0,4.326756663205262
36035,1,New York,Fulton,52468.0,1.905923610581688
36037,1,New York,Genesee,58016.0,1.7236624379481524
36043,1,New York,Herkimer,59551.0,1.679232926399221
36045,4,New York,Jefferson,113280.0,3.531073446327684
36047,11,New York,Kings,2611893.0,0.42115048357647117
36049,1,New York,Lewis,26568.0,3.7639265281541703
36051,1,New York,Livingston,61184.0,1.6344142259414225
36053,2,New York,Madison,67242.0,2.974331518991107
36055,6,New York,Monroe,748957.0,0.80111408265094
36057,1,New York,Montgomery,49531.0,2.0189376350164543
36059,9,New York,Nassau,1388940.0,0.6479761544775152
36061,16,New York,New York,1631534.0,0.9806721772270759
36063,2,New York,Niagara,209451.0,0.9548772743983079
36065,3,New York,Oneida,227555.0,1.318362593658676
36067,5,New York,Onondaga,468524.0,1.0671811902912125
36069,3,New York,Ontario,112374.0,2.6696566821506753
36071,6,New York,Orange,410179.0,1.4627760075479241
36073,1,New York,Orleans,39567.0,2.527358657467081
36075,1,New York,Oswego,117939.0,0.8478959462094812
36077,2,New York,Otsego,60581.0,3.3013651144748355
36079,1,New York,Putnam,98110.0,1.0192640913260627
36081,8,New York,Queens,2314747.0,0.34561012499422183
36083,1,New York,Rensselaer,159605.0,0.6265467873813477
36085,3,New York,Richmond,495182.0,0.605837853556874
36087,5,New York,Rockland,346437.0,1.4432638546113723
36089,6,New York,St. Lawrence,106607.0,5.628148245424784
36091,2,New York,Saratoga,238699.0,0.8378753157742597
36093,2,New York,Schenectady,160129.0,1.2489929993942384
36095,1,New York,Schoharie,30140.0,3.3178500331785004
36097,1,New York,Schuyler,17441.0,5.733616191732126
36101,4,New York,Steuben,92078.0,4.344143009187862
36103,14,New York,Suffolk,1533173.0,0.9131389608348177
36105,2,New York,Sullivan,80413.0,2.487160036312537
36109,1,New York,Tompkins,104453.0,0.9573683857811648
36111,2,New York,Ulster,182956.0,1.093159010909727
36113,1,New York,Warren,65467.0,1.5274871309209221
36117,1,New York,Wayne,90721.0,1.1022806185998832
36119,12,New York,Westchester,998335.0,1.202001332218143
36121,1,New York,Wyoming,39750.0,2.515723270440252
36123,1,New York,Yates,24367.0,4.10391102720893
